Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2016/17;Departure;Stefan Aigner;28;Right Winger;Germany;;1860 Munich;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2016/17;Departure;Luc Castaignos;23;Centre-Forward;Netherlands;;Sporting CP;ýýý2.50m;transfer;2500000.0;ýýý2.50m
2016/17;Departure;Luca Waldschmidt;20;Centre-Forward;Germany;;Hamburger SV;ýýý1.30m;transfer;1300000.0;ýýý1.30m
2016/17;Departure;Szabolcs Huszti;33;Left Midfield;Hungary;;CC Yatai;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2016/17;Departure;Aleksandar Ignjovski;25;Defensive Midfield;Serbia;;SC Freiburg;ýýý750k;transfer;750000.0;ýýý750k
2016/17;Departure;Johannes Flum;29;Central Midfield;Germany;;FC St. Pauli;free transfer;free;0.0;free transfer
2016/17;Departure;ýýnis Ben-Hatira;28;Right Winger;Tunisia;;Darmstadt 98;free transfer;free;0.0;free transfer
2016/17;Departure;Sonny Kittel;23;Attacking Midfield;Germany;;FC Ingolstadt;free transfer;free;0.0;free transfer
2016/17;Departure;Yannick Zummack;20;Goalkeeper;Germany;;SF Lotte;free transfer;free;0.0;free transfer
2016/17;Departure;Enis Bunjaki;19;Centre-Forward;Kosovo;;Twente FC;free transfer;free;0.0;free transfer
2016/17;Departure;Joel Gerezgiher;21;Attacking Midfield;Germany;;Holstein Kiel;?;other;;?
2016/17;Departure;Constant Djakpa;29;Left-Back;Cote d'Ivoire;;Without Club;-;undisclosed;;-
2016/17;Departure;Emil Balayev;22;Goalkeeper;Azerbaijan;;Without Club;-;undisclosed;;-
2016/17;Departure;Bamba Anderson;29;Centre-Back;Brazil;;;-;undisclosed;;-
2016/17;Departure;Kaan Ayhan;21;Centre-Back;Tï¿½ï¿½ï;;FC Schalke 04;End of loan30.06.2016;loan_return;0.0;End of loan30.06.2016
